inst#,date,actual,simple_model,full_model
1,1949/1/1,112,,
2,1949/2/1,118,,
3,1949/3/1,132,,
4,1949/4/1,129,,
5,1949/5/1,121,,
6,1949/6/1,135,,
7,1949/7/1,148,,
8,1949/8/1,148,,
9,1949/9/1,136,,
10,1949/10/1,119,,
11,1949/11/1,104,,
12,1949/12/1,118,,
13,1950/1/1,115,134.9774,118.2319
14,1950/2/1,126,141.244,116.9677
15,1950/3/1,141,155.8659,146.9291
16,1950/4/1,135,152.7326,137.4498
17,1950/5/1,125,144.3772,133.201
18,1950/6/1,149,158.9992,149.5738
19,1950/7/1,170,172.5767,167.1398
20,1950/8/1,170,172.5767,176.335
21,1950/9/1,158,160.0436,149.1967
22,1950/10/1,133,142.2884,132.9449
23,1950/11/1,114,126.622,114.5185
24,1950/12/1,140,141.244,136.4038
25,1951/1/1,145,138.1107,140.8735
26,1951/2/1,150,149.5994,148.5323
27,1951/3/1,178,165.2657,181.0127
28,1951/4/1,163,158.9992,172.5514
29,1951/5/1,172,148.5549,166.5496
30,1951/6/1,178,173.6211,193.0544
31,1951/7/1,199,195.554,201.2567
32,1951/8/1,199,195.554,196.255
33,1951/9/1,184,183.0209,178.1772
34,1951/10/1,162,156.9103,160.3588
35,1951/11/1,146,137.0663,145.2757
36,1951/12/1,166,164.2213,161.9103
37,1952/1/1,171,169.4434,165.4486
38,1952/2/1,180,174.6655,171.6774
39,1952/3/1,193,203.9094,200.9541
40,1952/4/1,181,188.243,184.6406
41,1952/5/1,183,197.6428,177.2497
42,1952/6/1,218,203.9094,205.6913
43,1952/7/1,230,225.8422,239.0479
44,1952/8/1,242,225.8422,235.1836
45,1952/9/1,209,210.1759,207.7691
46,1952/10/1,191,187.1986,183.1954
47,1952/11/1,172,170.4878,167.3471
48,1952/12/1,194,191.3763,190.1998
49,1953/1/1,196,196.5984,191.006
50,1953/2/1,196,205.9982,198.6321
51,1953/3/1,236,219.5757,227.8681
52,1953/4/1,235,207.0426,223.6217
53,1953/5/1,229,209.1315,231.6905
54,1953/6/1,243,245.6863,253.4255
55,1953/7/1,264,258.2194,267.9221
56,1953/8/1,272,270.7524,265.4927
57,1953/9/1,237,236.2865,243.4338
58,1953/10/1,211,217.4869,212.9515
59,1953/11/1,180,197.6428,184.6591
60,1953/12/1,201,220.6201,209.6398
61,1954/1/1,204,222.709,213.845
62,1954/2/1,188,222.709,209.4107
63,1954/3/1,235,264.4859,228.8589
64,1954/4/1,227,263.4415,226.3804
65,1954/5/1,234,257.1749,235.1177
66,1954/6/1,264,271.7969,268.9981
67,1954/7/1,302,293.7297,294.4204
68,1954/8/1,293,302.0851,302.1785
69,1954/9/1,259,265.5303,264.5895
70,1954/10/1,229,238.3753,233.4451
71,1954/11/1,203,205.9982,200.2554
72,1954/12/1,229,227.9311,237.9377
73,1955/1/1,242,231.0644,239.3911
74,1955/2/1,233,214.3536,238.5207
75,1955/3/1,267,263.4415,273.5404
76,1955/4/1,269,255.0861,263.0208
77,1955/5/1,270,262.3971,269.531
78,1955/6/1,315,293.7297,308.4611
79,1955/7/1,364,333.4178,349.7711
80,1955/8/1,347,324.018,355.7958
81,1955/9/1,312,288.5076,308.476
82,1955/10/1,274,257.1749,276.5036
83,1955/11/1,237,230.0199,240.7585
84,1955/12/1,278,257.1749,272.5761
85,1956/1/1,284,270.7524,281.2503
86,1956/2/1,277,261.3526,274.9448
87,1956/3/1,317,296.863,315.1678
88,1956/4/1,313,298.9519,307.7683
89,1956/5/1,318,299.9963,314.8754
90,1956/6/1,374,346.9953,362.1353
91,1956/7/1,413,398.1721,415.0765
92,1956/8/1,405,380.4169,406.9335
93,1956/9/1,355,343.8621,357.7326
94,1956/10/1,306,304.174,314.629
95,1956/11/1,271,265.5303,274.0563
96,1956/12/1,306,308.3517,309.3369
97,1957/1/1,315,314.6182,313.42
98,1957/2/1,301,307.3072,301.8531
99,1957/3/1,356,349.0842,346.6841
100,1957/4/1,348,344.9065,342.5257
101,1957/5/1,355,350.1286,354.3138
102,1957/6/1,422,408.6163,414.1586
103,1957/7/1,465,449.3488,465.1279
104,1957/8/1,467,440.9934,463.411
105,1957/9/1,404,388.7723,397.1759
106,1957/10/1,347,337.5955,348.0062
107,1957/11/1,305,301.0407,304.6951
108,1957/12/1,336,337.5955,337.1927
109,1958/1/1,340,346.9953,340.4895
110,1958/2/1,318,332.3734,311.7681
111,1958/3/1,362,389.8167,368.7219
112,1958/4/1,348,381.4613,353.0495
113,1958/5/1,363,388.7723,369.7261
114,1958/6/1,435,458.7486,442.5018
115,1958/7/1,491,503.6588,498.2376
116,1958/8/1,505,505.7476,498.4148
117,1958/9/1,404,439.949,415.449
118,1958/10/1,359,380.4169,349.9655
119,1958/11/1,310,336.5511,311.1714
120,1958/12/1,337,368.9282,331.8028
121,1959/1/1,360,373.1059,335.759
122,1959/2/1,342,350.1286,285.9995
123,1959/3/1,406,396.0832,359.9547
124,1959/4/1,396,381.4613,340.9246
125,1959/5/1,420,397.1276,378.7748
126,1959/6/1,472,472.3261,467.0031
127,1959/7/1,548,530.8138,522.6271
128,1959/8/1,559,545.4357,538.5005
129,1959/9/1,463,439.949,396.124
130,1959/10/1,407,392.9499,359.8459
131,1959/11/1,362,341.7732,294.9508
132,1959/12/1,405,369.9726,339.916
133,1960/1/1,417,393.9944,344.0249
134,1960/2/1,391,375.1948,300.1381
135,1960/3/1,419,442.0378,381.8416
136,1960/4/1,461,431.5936,355.4565
137,1960/5/1,472,456.6598,428.8856
138,1960/6/1,535,510.9698,488.8569
139,1960/7/1,622,590.3459,588.6901
140,1960/8/1,606,601.8346,571.2014
141,1960/9/1,508,501.57,440.8769
142,1960/10/1,461,443.0823,369.2262
143,1960/11/1,390,396.0832,336.3136
144,1960/12/1,432,440.9934,358.9307
